matiere,theme,sous_theme,competence,difficulte,type_question,enonce,choix_a,choix_b,choix_c,choix_d,bonne_reponse,explication,source
maths,Nombres et opérations,Multiplication,Calculer des produits simples,facile,qcm,Quel est le résultat de 7 × 8 ?,52,54,56,63,C,"7 × 8 = 56. Astuce : 7 × 8 = 7 × 4 × 2 = 28 × 2 = 56.",Programme CM2 MENFP Sénégal
francais,Grammaire,Nature des mots,Identifier le verbe dans une phrase,facile,qcm,"Dans la phrase ""Les enfants jouent au football"", quel est le verbe ?",enfants,jouent,football,Les,B,"Jouent est le verbe : il exprime l'action réalisée par le sujet.",Manuel de français CM2
histoire,Histoire du Sénégal,Indépendance,Connaître les grandes dates de l'histoire du Sénégal,facile,vrai_faux,Le Sénégal a obtenu son indépendance le 4 avril 1960.,,,,VRAI,VRAI,"Vrai ! Le 4 avril est la fête nationale du Sénégal depuis son indépendance proclamée en 1960.",INEADE Sénégal
geo,Le Sénégal,Fleuves et reliefs,Connaître les principaux fleuves du Sénégal,moyen,qcm,Quel fleuve forme la frontière nord du Sénégal avec la Mauritanie ?,La Casamance,Le fleuve Gambie,Le fleuve Sénégal,Le Sine,C,"Le fleuve Sénégal (1700 km) borde la frontière nord du pays et se jette dans l'Atlantique à Saint-Louis.",Atlas du Sénégal CM2
sciences,Le monde du vivant,Photosynthèse,Comprendre la nutrition des végétaux,moyen,qcm,Quel gaz les plantes rejettent-elles lors de la photosynthèse ?,Dioxyde de carbone,Azote,Oxygène,Vapeur d'eau,C,"Les plantes absorbent le CO₂ et produisent de l'O₂ grâce à la lumière solaire : c'est la photosynthèse.",Sciences CM2 MENFP
maths,Géométrie,Périmètres et aires,Calculer l'aire d'un rectangle,moyen,qcm,Quelle est l'aire d'un rectangle de 6 cm de long et 4 cm de large ?,10 cm²,20 cm²,24 cm²,48 cm²,C,"Aire = longueur × largeur = 6 × 4 = 24 cm².",Programme CM2 MENFP Sénégal
francais,Conjugaison,Passé composé,Conjuguer les verbes du 1er groupe au passé composé,moyen,qcm,"Quelle est la forme correcte ? ""Hier, Aminata ___ à l'école.""",a allé,est allée,a été allée,est allé,B,"Aller se conjugue avec l'auxiliaire être. Accord avec le sujet féminin Aminata : est allée.",Manuel de conjugaison CM2
histoire,Empires africains,Empire du Mali,Connaître les grands souverains africains médiévaux,moyen,qcm,Qui a fondé l'Empire du Mali au XIIIe siècle ?,Kankou Moussa,Soundiata Keïta,Askia Mohamed,Gaoussou Kouyaté,B,"Soundiata Keïta fonda l'Empire du Mali vers 1235 après sa victoire sur Soumaoro Kanté à la bataille de Kirina.",INEADE — Histoire CM2
geo,L'Afrique de l'Ouest,Capitales,Connaître les capitales des pays voisins,moyen,association,"Associe chaque pays à sa capitale : Mali | Guinée | Mauritanie","Bamako | Conakry | Nouakchott",,,,,"Mali→Bamako, Guinée→Conakry, Mauritanie→Nouakchott. Ces trois pays partagent des frontières avec le Sénégal.",Atlas Afrique CM2
sciences,Corps humain,Organes,Identifier les fonctions des grands organes,moyen,identification,"Quel organe suis-je ? Indice 1 : Je bats environ 70 fois par minute. Indice 2 : Je pompe le sang dans tout le corps. Indice 3 : Je suis dans la poitrine.",,,,le cœur,le cœur,"Le cœur est un muscle creux qui pompe le sang : 70 battements/min au repos, soit 100 000 par jour.",Sciences CM2 MENFP
maths,Problèmes,Problèmes multiplicatifs,Résoudre des problèmes de la vie quotidienne,difficile,qcm,"Moussa achète 8 cahiers à 350 F CFA et 4 stylos à 150 F CFA. Combien dépense-t-il ?",2 400 F,3 000 F,3 400 F,3 800 F,C,"Cahiers : 8×350 = 2800 F. Stylos : 4×150 = 600 F. Total : 2800+600 = 3400 F CFA.",Programme CM2 MENFP Sénégal
francais,Orthographe,Accord des adjectifs,Accorder correctement les adjectifs,difficile,qcm,Choisissez la phrase correctement orthographiée :,"Les élèves sont content.","Les élèves sont contentes.","Les élèves sont contents.","Les élèves sont contente.",C,"Élèves est masculin pluriel (ou mixte) → l'adjectif prend la marque du pluriel masculin : contents.",Manuel d'orthographe CM2
histoire,Histoire du Sénégal,Résistance à la colonisation,Connaître les héros de la résistance sénégalaise,difficile,identification,"Qui suis-je ? Indice 1 : Damel du Cayor. Indice 2 : J'ai résisté à la colonisation française. Indice 3 : Je suis mort à la bataille de Dekhele en 1886.",,,,Lat Dior,Lat Dior,"Lat Dior Ngoné Latyr Diop préféra mourir en combattant plutôt que de voir le chemin de fer traverser son royaume.",INEADE — Histoire CM2
geo,Le Sénégal,Régions administratives,Connaître l'organisation administrative du Sénégal,difficile,qcm,Combien de régions administratives compte le Sénégal depuis 2008 ?,10,12,14,16,C,"Le Sénégal compte 14 régions depuis la réforme de 2008 : Dakar, Thiès, Saint-Louis, Diourbel, Fatick, Kaolack, Kaffrine, Louga, Tambacounda, Kédougou, Kolda, Sédhiou, Ziguinchor et Matam.",Atlas du Sénégal CM2
sciences,La matière,États de la matière,Connaître les changements d'état de l'eau,difficile,qcm,À quelle température l'eau bout-elle au niveau de la mer ?,0°C,50°C,100°C,120°C,C,"L'eau bout à 100°C à pression atmosphérique normale. Elle gèle à 0°C. Ces valeurs changent en altitude.",Sciences CM2 MENFP
